country,iso_code,year,population
Afghanistan,AFG,2016,34700613
Africa,OWID_AFR,2016,1250551239
Africa (UN),UN_AFR,2016,1251208462
Albania,ALB,2016,2897868
Algeria,DZA,2016,40850719
American Samoa,ASM,2016,52260
Americas (UN),NA,2016,991580857
Andorra,AND,2016,72197
Angola,AGO,2016,29183072
Anguilla,AIA,2016,14344
Antigua and Barbuda,ATG,2016,89980
Argentina,ARG,2016,43900312
Armenia,ARM,2016,2918796
Aruba,ABW,2016,104989
Asia,OWID_ASI,2016,4527178153
Asia (UN),UN_ASI,2016,4528415184
Australia,AUS,2016,24329963
Austria,AUT,2016,8737920
Azerbaijan,AZE,2016,9868434
Bahamas,BHS,2016,388060
Bahrain,BHR,2016,1429609
Bangladesh,BGD,2016,160811934
Barbados,BRB,2016,279604
Belarus,BLR,2016,9499066
Belgium,BEL,2016,11332707
Belize,BLZ,2016,364717
Benin,BEN,2016,11697845
Bermuda,BMU,2016,63466
Bhutan,BTN,2016,747878
Bolivia,BOL,2016,11180020
Bonaire Sint Eustatius and Saba,BES,2016,24567
Bosnia and Herzegovina,BIH,2016,3472997
Botswana,BWA,2016,2234784
Brazil,BRA,2016,203218108
British Virgin Islands,VGB,2016,33904
Brunei,BRN,2016,427571
Bulgaria,BGR,2016,7127436
Burkina Faso,BFA,2016,19334854
Burundi,BDI,2016,11239459
Cambodia,KHM,2016,15852802
Cameroon,CMR,2016,23454165
Canada,CAN,2016,36353345
Cape Verde,CPV,2016,512556
Cayman Islands,CYM,2016,63121
Central African Republic,CAF,2016,4713663
Chad,TCD,2016,15114652
Chile,CHL,2016,18267225
China,CHN,2016,1404052628
Colombia,COL,2016,47437513
Comoros,COM,2016,741745
Congo,COG,2016,5222545
Cook Islands,COK,2016,17360
Costa Rica,CRI,2016,4867003
Cote d'Ivoire,CIV,2016,25989404
Croatia,HRV,2016,4136438
Cuba,CUB,2016,11265615
Curacao,CUW,2016,167787
Cyprus,CYP,2016,1237114
Czechia,CZE,2016,10531946
Democratic Republic of Congo,COD,2016,83956416
Denmark,DNK,2016,5728196
Djibouti,DJI,2016,1037660
Dominica,DMA,2016,69627
Dominican Republic,DOM,2016,10551430
East Timor,TLS,2016,1228314
Ecuador,ECU,2016,16505142
Egypt,EGY,2016,101644583
El Salvador,SLV,2016,6200808
Equatorial Guinea,GNQ,2016,1508192
Eritrea,ERI,2016,3124700
Estonia,EST,2016,1315850
Eswatini,SWZ,2016,1149516
Ethiopia,ETH,2016,106718163
Europe,OWID_EUR,2016,747258527
Europe (UN),UN_EUR,2016,746003106
European Union (27),OWID_EU27,2016,444911502
Falkland Islands,FLK,2016,3499
Faroe Islands,FRO,2016,49554
Fiji,FJI,2016,919167
Finland,FIN,2016,5495468
France,FRA,2016,65086853
French Guiana,GUF,2016,271278
French Polynesia,PYF,2016,279180
Gabon,GAB,2016,2100310
Gambia,GMB,2016,2283775
Georgia,GEO,2016,3792061
Germany,DEU,2016,82760102
Ghana,GHA,2016,29356736
Gibraltar,GIB,2016,33682
Greece,GRC,2016,10775506
Greenland,GRL,2016,56082
Grenada,GRD,2016,115147
Guadeloupe,GLP,2016,404642
Guam,GUM,2016,164240
Guatemala,GTM,2016,16268761
Guernsey,GGY,2016,62216
Guinea,GIN,2016,12073031
Guinea-Bissau,GNB,2016,1831898
Guyana,GUY,2016,763553
Haiti,HTI,2016,10671462
High-income countries,OWID_HIC,2016,1380894709
Honduras,HND,2016,9412380
Hong Kong,HKG,2016,7408006
Hungary,HUN,2016,9810529
Iceland,ISL,2016,335571
India,IND,2016,1343944296
Indonesia,IDN,2016,264627429
Iran,IRN,2016,83812230
Iraq,IRQ,2016,38469628
Ireland,IRL,2016,4753506
Isle of Man,IMN,2016,83484
Israel,ISR,2016,8210006
Italy,ITA,2016,60478103
Jamaica,JAM,2016,2809919
Japan,JPN,2016,127159950
Jersey,JEY,2016,101700
Jordan,JOR,2016,10006369
Kazakhstan,KAZ,2016,18363600
Kenya,KEN,2016,48139683
Kiribati,KIR,2016,118488
Kosovo,OWID_KOS,2016,1761765
Kuwait,KWT,2016,4003976
Kyrgyzstan,KGZ,2016,6108460
Laos,LAO,2016,6908800
Latin America and the Caribbean (UN),UN_LAC,2016,625922637
Latvia,LVA,2016,1959863
Lebanon,LBN,2016,6323061
Lesotho,LSO,2016,2130424
Liberia,LBR,2016,4755607
Libya,LBY,2016,6632130
Liechtenstein,LIE,2016,37635
Lithuania,LTU,2016,2869109
Low-income countries,OWID_LIC,2016,607210136
Lower-middle-income countries,OWID_LMC,2016,2807490854
Luxembourg,LUX,2016,583511
Macao,MAC,2016,634317
Madagascar,MDG,2016,26099950
Malawi,MWI,2016,17557741
Malaysia,MYS,2016,31789692
Maldives,MDV,2016,443316
Mali,MLI,2016,19191298
Malta,MLT,2016,455276
Marshall Islands,MHL,2016,47730
Martinique,MTQ,2016,378892
Mauritania,MRT,2016,4086655
Mauritius,MUS,2016,1291807
Mayotte,MYT,2016,255880
Mexico,MEX,2016,122251344
Micronesia (country),FSM,2016,109088
Moldova,MDA,2016,3237798
Monaco,MCO,2016,37301
Mongolia,MNG,2016,3040815
Montenegro,MNE,2016,624246
Montserrat,MSR,2016,4665
Morocco,MAR,2016,35023459
Mozambique,MOZ,2016,27337107
Myanmar,MMR,2016,51495701
Namibia,NAM,2016,2439219
Nauru,NRU,2016,11173
Nepal,NPL,2016,27955471
Netherlands,NLD,2016,17204693
New Caledonia,NCL,2016,283432
New Zealand,NZL,2016,4714768
Nicaragua,NIC,2016,6232664
Niger,NER,2016,20685758
Nigeria,NGA,2016,195443698
Niue,NIU,2016,1806
North America,OWID_NAM,2016,578186332
North Korea,PRK,2016,25698325
North Macedonia,MKD,2016,1961268
Northern America (UN),UN_NAM,2016,365658209
Northern Mariana Islands,MNP,2016,50795
Norway,NOR,2016,5235974
Oceania,OWID_OCE,2016,41347231
Oceania (UN),UN_OCE,2016,41346915
Oman,OMN,2016,4390880
Pakistan,PAK,2016,220138863
Palau,PLW,2016,17824
Palestine,PSE,2016,4632743
Panama,PAN,2016,4029085
Papua New Guinea,PNG,2016,8961717
Paraguay,PRY,2016,6249129
Peru,PER,2016,30866497
Philippines,PHL,2016,106735721
Poland,POL,2016,38263260
Portugal,PRT,2016,10346377
Puerto Rico,PRI,2016,3476008
Qatar,QAT,2016,2599382
Reunion,REU,2016,862861
Romania,ROU,2016,19777049
Russia,RUS,2016,145778668
Rwanda,RWA,2016,11919183
Saint Barthelemy,BLM,2016,9776
Saint Helena,SHN,2016,5544
Saint Kitts and Nevis,KNA,2016,47099
Saint Lucia,LCA,2016,175651
Saint Martin (French part),MAF,2016,37201
Saint Pierre and Miquelon,SPM,2016,5957
Saint Vincent and the Grenadines,VCT,2016,106365
Samoa,WSM,2016,203509
San Marino,SMR,2016,34188
